,ds,y,produce_type
0,2014-01-01,163.53,cherry
1,2014-02-01,190.67,cherry
2,2014-03-01,207.0,cherry
3,2014-04-01,145.67,cherry
4,2014-05-01,107.0,cherry
5,2014-06-01,129.98,cherry
6,2014-07-01,121.25,cherry
7,2014-08-01,0.0,cherry
8,2014-09-01,208.57,cherry
9,2014-10-01,191.99,cherry
10,2014-11-01,157.26,cherry
11,2014-12-01,133.64,cherry
12,2015-01-01,174.64,cherry
13,2015-02-01,153.37,cherry
14,2015-03-01,148.34,cherry
15,2015-04-01,113.27,cherry
16,2015-05-01,102.68,cherry
17,2015-06-01,125.2,cherry
18,2015-07-01,0.0,cherry
19,2015-08-01,0.0,cherry
20,2015-09-01,0.0,cherry
21,2015-10-01,210.42,cherry
22,2015-11-01,113.36,cherry
23,2015-12-01,110.71,cherry
24,2016-01-01,128.15,cherry
25,2016-02-01,148.83,cherry
26,2016-03-01,157.48,cherry
27,2016-04-01,113.1,cherry
28,2016-05-01,88.93,cherry
29,2016-06-01,102.77,cherry
30,2016-07-01,113.03,cherry
31,2016-08-01,0.0,cherry
32,2016-09-01,196.29,cherry
33,2016-10-01,191.54,cherry
34,2016-11-01,151.78,cherry
35,2016-12-01,190.28,cherry
36,2017-01-01,242.31,cherry
37,2017-02-01,229.88,cherry
38,2017-03-01,193.37,cherry
39,2017-04-01,182.15,cherry
40,2017-05-01,87.83,cherry
41,2017-06-01,91.42,cherry
42,2017-07-01,116.49,cherry
43,2017-08-01,114.35,cherry
44,2017-09-01,165.52,cherry
45,2017-10-01,203.01,cherry
46,2017-11-01,181.21,cherry
47,2017-12-01,200.9,cherry
48,2018-01-01,169.86,cherry
49,2018-02-01,179.21,cherry
50,2018-03-01,152.41,cherry
51,2018-04-01,108.53,cherry
52,2018-05-01,106.57,cherry
53,2018-06-01,105.38,cherry
54,2018-07-01,126.82,cherry
55,2018-08-01,134.18,cherry
56,2018-09-01,168.66,cherry
57,2018-10-01,175.45,cherry
58,2018-11-01,169.02,cherry
59,2018-12-01,171.88,cherry
60,2019-01-01,216.16,cherry
61,2019-02-01,161.2,cherry
62,2019-03-01,126.42,cherry
63,2019-04-01,112.3,cherry
64,2019-05-01,83.53,cherry
65,2019-06-01,124.9,cherry
66,2019-07-01,181.23,cherry
67,2019-08-01,119.76,cherry
68,2019-09-01,134.75,cherry
69,2019-10-01,166.07,cherry
70,2019-11-01,144.0,cherry
71,2019-12-01,164.35,cherry
72,2020-01-01,188.29,cherry
73,2020-02-01,195.97,cherry
74,2020-03-01,126.2,cherry
75,2020-04-01,104.37,cherry
76,2020-05-01,68.86,cherry
77,2020-06-01,110.19,cherry
78,2020-07-01,149.83,cherry
79,2020-08-01,139.15,cherry
80,2020-09-01,0.0,cherry
81,2020-10-01,0.0,cherry
82,2020-11-01,0.0,cherry
83,2020-12-01,0.0,cherry
84,2014-01-01,72.65,round
85,2014-02-01,69.4,round
86,2014-03-01,73.05,round
87,2014-04-01,64.38,round
88,2014-05-01,40.56,round
89,2014-06-01,57.06,round
90,2014-07-01,62.27,round
91,2014-08-01,49.63,round
92,2014-09-01,74.22,round
93,2014-10-01,84.46,round
94,2014-11-01,71.32,round
95,2014-12-01,62.72,round
96,2015-01-01,81.36,round
97,2015-02-01,67.28,round
98,2015-03-01,62.67,round
99,2015-04-01,66.02,round
100,2015-05-01,53.35,round
101,2015-06-01,45.93,round
102,2015-07-01,44.94,round
103,2015-08-01,64.85,round
104,2015-09-01,104.71,round
105,2015-10-01,98.7,round
106,2015-11-01,57.28,round
107,2015-12-01,64.34,round
108,2016-01-01,58.11,round
109,2016-02-01,64.67,round
110,2016-03-01,78.87,round
111,2016-04-01,66.28,round
112,2016-05-01,49.51,round
113,2016-06-01,50.52,round
114,2016-07-01,61.04,round
115,2016-08-01,72.26,round
116,2016-09-01,71.57,round
117,2016-10-01,79.77,round
118,2016-11-01,70.03,round
119,2016-12-01,90.92,round
120,2017-01-01,115.36,round
121,2017-02-01,83.63,round
122,2017-03-01,83.72,round
123,2017-04-01,94.6,round
124,2017-05-01,43.75,round
125,2017-06-01,50.13,round
126,2017-07-01,57.42,round
127,2017-08-01,62.45,round
128,2017-09-01,81.84,round
129,2017-10-01,84.99,round
130,2017-11-01,78.72,round
131,2017-12-01,97.86,round
132,2020-01-01,73.47,round
133,2020-02-01,74.26,round
134,2020-03-01,75.52,round
135,2020-04-01,74.47,round
136,2020-05-01,55.24,round
137,2020-06-01,64.39,round
138,2020-07-01,54.3,round
139,2020-08-01,54.48,round
140,2020-09-01,0.0,round
141,2020-10-01,0.0,round
142,2020-11-01,0.0,round
143,2020-12-01,0.0,round
144,2016-01-01,68.85,vine
145,2016-02-01,73.25,vine
146,2016-03-01,89.69,vine
147,2016-04-01,49.59,vine
148,2016-05-01,24.71,vine
149,2016-06-01,44.52,vine
150,2016-07-01,75.58,vine
151,2016-08-01,0.0,vine
152,2016-09-01,185.17,vine
153,2016-10-01,91.87,vine
154,2016-11-01,80.39,vine
155,2016-12-01,125.95,vine
156,2019-01-01,113.86,vine
157,2019-02-01,80.06,vine
158,2019-03-01,76.26,vine
159,2019-04-01,63.64,vine
160,2019-05-01,39.51,vine
161,2019-06-01,83.71,vine
162,2019-07-01,123.11,vine
163,2019-08-01,158.96,vine
164,2019-09-01,98.31,vine
165,2019-10-01,91.01,vine
166,2019-11-01,75.56,vine
167,2019-12-01,94.96,vine
168,2018-01-01,61.72,round
169,2018-02-01,56.18,round
170,2018-03-01,59.46,round
171,2018-04-01,57.0,round
172,2018-05-01,53.69,round
173,2018-06-01,48.1,round
174,2018-07-01,51.82,round
175,2018-08-01,55.67,round
176,2018-09-01,82.04,round
177,2018-10-01,82.0,round
178,2018-11-01,77.36,round
179,2018-12-01,73.64,round
180,2014-01-01,94.87,vine
181,2014-02-01,77.34,vine
182,2014-03-01,84.76,vine
183,2014-04-01,62.6,vine
184,2014-05-01,29.11,vine
185,2014-06-01,61.08,vine
186,2014-07-01,68.47,vine
187,2014-08-01,0.0,vine
188,2014-09-01,104.99,vine
189,2014-10-01,105.35,vine
190,2014-11-01,85.3,vine
191,2014-12-01,59.3,vine
192,2017-01-01,150.41,vine
193,2017-02-01,94.7,vine
194,2017-03-01,88.09,vine
195,2017-04-01,83.0,vine
196,2017-05-01,37.98,vine
197,2017-06-01,56.94,vine
198,2017-07-01,65.79,vine
199,2017-08-01,0.0,vine
200,2017-09-01,115.0,vine
201,2017-10-01,115.0,vine
202,2017-11-01,126.69,vine
203,2017-12-01,123.98,vine
204,2020-01-01,90.43,vine
205,2020-02-01,87.3,vine
206,2020-03-01,82.35,vine
207,2020-04-01,67.64,vine
208,2020-05-01,42.39,vine
209,2020-06-01,63.88,vine
210,2020-07-01,80.6,vine
211,2020-08-01,69.04,vine
212,2020-09-01,0.0,vine
213,2020-10-01,0.0,vine
214,2020-11-01,0.0,vine
215,2020-12-01,0.0,vine
216,2019-01-01,84.92,round
217,2019-02-01,70.83,round
218,2019-03-01,80.9,round
219,2019-04-01,77.51,round
220,2019-05-01,51.64,round
221,2019-06-01,72.15,round
222,2019-07-01,85.92,round
223,2019-08-01,84.38,round
224,2019-09-01,71.99,round
225,2019-10-01,71.35,round
226,2019-11-01,70.65,round
227,2019-12-01,77.72,round
228,2015-01-01,102.49,vine
229,2015-02-01,72.18,vine
230,2015-03-01,72.35,vine
231,2015-04-01,64.65,vine
232,2015-05-01,44.4,vine
233,2015-06-01,47.99,vine
234,2015-07-01,43.18,vine
235,2015-08-01,0.0,vine
236,2015-09-01,0.0,vine
237,2015-10-01,115.05,vine
238,2015-11-01,65.42,vine
239,2015-12-01,81.48,vine
240,2018-01-01,74.17,vine
241,2018-02-01,69.06,vine
242,2018-03-01,65.45,vine
243,2018-04-01,47.68,vine
244,2018-05-01,32.67,vine
245,2018-06-01,49.18,vine
246,2018-07-01,61.92,vine
247,2018-08-01,0.0,vine
248,2018-09-01,0.0,vine
249,2018-10-01,93.01,vine
250,2018-11-01,80.25,vine
251,2018-12-01,99.05,vine
